index,station_no,class,Diff,name,lat,lng
0,1,0,0,捷運市政府站(3號出口),25.04085789,121.5679044
1,2,0,0,捷運國父紀念館站(2號出口),25.041254000000002,121.55742
2,173,0,0,捷運松江南京站(7號出口),25.052181,121.53321100000001
3,37,0,0,捷運東門站(4號出口),25.0337,121.52898799999998
4,306,0,0,捷運古亭站(6號出口),25.027781,121.52198
5,88,0,0,捷運象山站,25.032922,121.57087
6,279,0,0,南港車站(興華路),25.053432,121.60633100000001
7,122,0,0,捷運港墘站(2號出口),25.079666,121.57583999999999
8,164,0,0,捷運奇岩站,25.126286,121.500801
9,67,0,0,捷運臺大醫院(4號出口),25.042973,121.516428
10,115,0,0,臺北轉運站,25.048222,121.520526
11,27,0,0,捷運南港展覽館站(5號出口),25.05469,121.61668999999999
12,289,0,0,牯嶺公園,25.023377,121.51883500000001
13,364,0,0,嘉興公園,25.02109,121.55219
14,119,0,0,捷運劍南路站(2號出口),25.08418,121.555116
15,24,0,0,信義建國路口,25.03293,121.53747
16,87,0,0,捷運大安站,25.033078,121.543057
17,146,0,0,捷運士林站(2號出口),25.092546,121.526556
18,70,0,0,捷運台北101/世貿站,25.032752,121.561645
19,139,0,0,永樂市場,25.054501000000002,121.510549
20,293,0,0,自來水園區,25.013284,121.53003700000001
21,215,0,0,捷運北門站(3號出口),25.04993,121.51036699999999
22,313,0,0,光華商場,25.04515,121.532738
23,3,0,0,台北市政府,25.03779722,121.56516940000002
24,21,0,0,民生敦化路口,25.057985000000002,121.54898200000001
25,82,0,0,捷運西門站(3號出口),25.041778,121.508693
26,111,0,0,捷運忠孝復興站(2號出口),25.040184,121.543497
27,174,0,0,捷運小巨蛋站(5號出口),25.051702,121.55305700000001
28,7,0,0,信義廣場(台北101),25.03303889,121.56561940000002
29,245,0,0,捷運中山國中站,25.060632000000002,121.544028
30,38,0,0,臺灣師範大學(圖書館),25.026603,121.52944
31,17,0,0,民生光復路口,25.05862,121.55514
32,126,0,0,敦化基隆路口,25.022073000000002,121.548336
33,235,0,0,市民東興路口,25.048460000000002,121.565928
34,131,0,0,洲子二號公園,25.079322,121.568688
35,266,0,0,洲子一號公園,25.080257999999997,121.564806
36,64,0,0,國家圖書館,25.037773,121.51702900000001
37,150,0,0,松德公園,25.036568,121.57343
38,334,0,0,敦化南路二段103巷口,25.028973,121.549024
39,238,0,0,瑞湖陽光街口,25.073119000000002,121.575965
40,186,0,0,臺北市立大學,25.035414000000003,121.514218
41,195,0,0,信義杭州路口(中華電信總公司),25.035851,121.523987
42,4,0,0,市民廣場,25.03603611,121.562325
43,253,0,0,芝山抽水站,25.101423,121.52798999999999
44,113,0,0,仁愛逸仙路口,25.037724,121.561178
45,372,0,0,重慶民族路口,25.06825,121.51359
46,222,0,0,撫順公園,25.064107999999997,121.522065
47,340,0,0,南京光復路口,25.05143,121.55716000000001
48,300,0,0,信義基隆路口,25.033209,121.55873100000001
49,258,0,0,聯合醫院中興院區,25.052096,121.507979
50,248,0,0,喬治工商,25.027123,121.55556599999998
51,351,0,0,中山青島路口,25.04469,121.51953999999999
52,129,0,0,捷運文德站(2號出口),25.078424,121.58456000000001
53,194,0,0,市民林森路口,25.047957999999998,121.52438799999999
54,363,0,0,復興南路一段340巷口,25.036170000000002,121.5435
55,8,0,0,世貿三館,25.03521389,121.5636889
56,53,0,0,八德市場,25.044781,121.53660900000001
57,106,0,0,西園艋舺路口,25.032932000000002,121.497674
58,318,0,0,成功金龍路口,25.084135,121.59483999999999
59,326,0,0,基隆路一段101巷口,25.04525,121.56709
60,28,0,0,五常公園,25.04814,121.57467
61,333,0,0,復盛公園,25.047428,121.561182
62,90,0,0,老松國小,25.037782999999997,121.50170800000001
63,397,0,0,劍潭海外青年活動中心,25.079603,121.5237
64,290,0,0,新生公園,25.068387,121.530188
65,41,0,0,中研公園,25.047425,121.61370600000001
66,322,0,0,永盛公園(民生東路一段23巷),25.058835000000002,121.52503999999999
67,316,0,0,民有一號公園,25.060910999999997,121.54763
68,354,0,0,建國濟南路口,25.040032999999998,121.53808400000001
69,51,0,0,建國農安街口,25.065031,121.536775
70,391,0,0,景仁公園,24.9966,121.540295
71,161,0,0,大豐公園,25.131142999999998,121.503768
72,203,0,0,古亭國中,25.024487,121.51057
73,166,0,0,臺北市立景美女中,24.980601999999998,121.556177
