station_no,class,Diff
1-9,0,0
0-9,1,186.73242889225213
2-9,2,369.9979987642747
3-9,2,369.9979987642747
4-9,2,369.9979987642747
2-8,3,595.6072101373371
3-8,4,780.7744132782909
4-8,4,780.7744132782909
0-8,5,971.765821720628
0-7,6,1201.3308375440308
3-7,6,1201.3308375440308
4-7,6,1201.3308375440308
1-7,6,1201.3308375440308
2-7,6,1201.3308375440308
0-0,7,1443.0962938156788
0-1,7,1443.0962938156788
0-2,7,1443.0962938156788
2-2,7,1443.0962938156788
3-4,7,1443.0962938156788
3-5,7,1443.0962938156788
4-5,7,1443.0962938156788
0-5,7,1443.0962938156788
3-2,7,1443.0962938156788
1-2,7,1443.0962938156788
2-5,7,1443.0962938156788
4-2,7,1443.0962938156788
1-5,7,1443.0962938156788
5-5,7,1443.0962938156788
6-5,7,1443.0962938156788
5-2,7,1443.0962938156788
6-2,7,1443.0962938156788
0-3,7,1443.0962938156788
3-1,7,1443.0962938156788
6-3,7,1443.0962938156788
2-4,7,1443.0962938156788
2-1,7,1443.0962938156788
5-6,7,1443.0962938156788
6-6,7,1443.0962938156788
1-4,7,1443.0962938156788
2-3,7,1443.0962938156788
3-3,7,1443.0962938156788
4-3,7,1443.0962938156788
5-3,7,1443.0962938156788
1-3,7,1443.0962938156788
0-4,7,1443.0962938156788
4-4,7,1443.0962938156788
5-4,7,1443.0962938156788
1-1,7,1443.0962938156788
2-0,7,1443.0962938156788
6-4,7,1443.0962938156788
0-6,7,1443.0962938156788
3-6,7,1443.0962938156788
4-6,7,1443.0962938156788
2-6,7,1443.0962938156788
1-6,7,1443.0962938156788
6-7,7,1443.0962938156788
4-1,7,1443.0962938156788
1-0,7,1443.0962938156788
3-0,7,1443.0962938156788
5-1,7,1443.0962938156788
6-1,7,1443.0962938156788
5-7,7,1443.0962938156788
6-12,7,1443.0962938156788
6-23,7,1443.0962938156788
0-23,7,1443.0962938156788
1-23,7,1443.0962938156788
4-0,7,1443.0962938156788
5-0,7,1443.0962938156788
6-0,7,1443.0962938156788
6-22,7,1443.0962938156788
3-23,7,1443.0962938156788
5-9,8,1655.4536415349153
6-9,8,1655.4536415349153
5-8,9,1836.833062091456
6-8,9,1836.833062091456
0-10,10,2018.1921002895037
1-10,10,2018.1921002895037
2-10,10,2018.1921002895037
3-10,10,2018.1921002895037
4-10,10,2018.1921002895037
0-11,10,2018.1921002895037
2-11,10,2018.1921002895037
3-11,10,2018.1921002895037
4-11,10,2018.1921002895037
0-12,10,2018.1921002895037
2-12,10,2018.1921002895037
3-12,10,2018.1921002895037
4-12,10,2018.1921002895037
2-14,10,2018.1921002895037
3-14,10,2018.1921002895037
0-15,10,2018.1921002895037
3-15,10,2018.1921002895037
2-15,10,2018.1921002895037
0-13,10,2018.1921002895037
2-13,10,2018.1921002895037
3-13,10,2018.1921002895037
4-13,10,2018.1921002895037
0-14,10,2018.1921002895037
4-14,10,2018.1921002895037
6-13,10,2018.1921002895037
6-15,10,2018.1921002895037
6-14,10,2018.1921002895037
4-15,10,2018.1921002895037
6-19,11,2206.025712094855
6-21,12,2407.1401074026003
5-23,13,2597.017819283135
6-20,13,2597.017819283135
0-22,14,2775.657951677732
3-22,14,2775.657951677732
1-22,14,2775.657951677732
4-23,14,2775.657951677732
4-22,15,2956.4483763836874
5-22,15,2956.4483763836874
5-21,16,3139.206179145465
4-21,17,3324.330461723413
0-21,18,3502.9793756265785
3-21,18,3502.9793756265785
1-21,19,3682.9131798009466
4-20,20,3892.9631738499825
3-20,21,4089.487981444342
2-20,22,4268.490774718637
0-20,23,4452.469034303839
1-20,24,4634.501998351563
6-18,25,4825.716537547723
5-18,26,5012.708515985302
5-19,27,5214.515354323353
5-10,28,5411.464586360444
6-10,29,5594.051551941232
5-16,30,5789.676192515982
5-12,31,5971.647325481299
6-16,31,5971.647325481299
5-15,32,6154.878323555576
5-13,33,6338.298605967309
5-14,34,6533.000942881893
5-11,35,6731.855160840678
6-11,36,6912.3101413759905
0-16,37,7126.411385162669
2-16,37,7126.411385162669
4-16,37,7126.411385162669
1-16,37,7126.411385162669
3-16,37,7126.411385162669
5-20,38,7357.860320340298
2-23,39,7608.122183195987
2-17,40,7861.708460427229
0-17,41,8061.795941294973
1-17,42,8259.039445624014
3-17,43,8465.22382912577
4-17,44,8675.737486639957
1-18,45,8932.574010522367
0-18,46,9148.277510725771
2-18,47,9362.347592708285
3-18,48,9569.808432386524
4-18,49,9775.657891943745
3-19,50,10008.78017745073
2-19,51,10221.618143988657
1-19,52,10424.366756807585
4-19,53,10620.55289291307
0-19,54,10827.134595878266
6-17,55,11069.31428123606
5-17,56,11271.52704047741
2-22,57,11531.578958370741
2-21,58,11775.419069919271
1-8,59,12068.451491333693
