week,hour,station_no,rent,lend,time_id
0,0,87,3,6,0-0
0,1,87,3,0,0-1
0,2,87,3,0,0-2
0,3,87,0,1,0-3
0,4,87,1,6,0-4
0,5,87,2,2,0-5
0,6,87,4,1,0-6
0,7,87,10,13,0-7
0,8,87,13,20,0-8
0,9,87,17,11,0-9
0,10,87,10,8,0-10
0,11,87,9,14,0-11
0,12,87,11,7,0-12
0,13,87,11,15,0-13
0,14,87,31,4,0-14
0,15,87,23,22,0-15
0,16,87,5,36,0-16
0,17,87,13,8,0-17
0,18,87,18,16,0-18
0,19,87,6,14,0-19
0,20,87,12,10,0-20
0,21,87,6,8,0-21
0,22,87,8,2,0-22
0,23,87,5,11,0-23
1,0,87,16,6,1-0
1,1,87,3,6,1-1
1,2,87,5,6,1-2
1,3,87,1,1,1-3
1,4,87,1,0,1-4
1,5,87,4,2,1-5
1,6,87,18,2,1-6
1,7,87,17,19,1-7
1,8,87,16,29,1-8
1,9,87,15,10,1-9
1,10,87,6,16,1-10
1,16,87,16,18,1-16
1,17,87,11,5,1-17
1,18,87,15,14,1-18
1,19,87,19,20,1-19
1,20,87,11,16,1-20
1,21,87,14,13,1-21
1,22,87,7,7,1-22
1,23,87,10,12,1-23
2,0,87,9,1,2-0
2,1,87,5,8,2-1
2,2,87,2,0,2-2
2,3,87,0,0,2-3
2,4,87,0,1,2-4
2,5,87,7,2,2-5
2,6,87,12,0,2-6
2,7,87,23,16,2-7
2,8,87,4,32,2-8
2,9,87,17,12,2-9
2,10,87,10,17,2-10
2,11,87,18,17,2-11
2,12,87,11,10,2-12
2,13,87,16,8,2-13
2,14,87,11,11,2-14
2,15,87,10,8,2-15
2,16,87,11,19,2-16
2,17,87,11,14,2-17
2,18,87,9,7,2-18
2,19,87,9,3,2-19
2,20,87,7,15,2-20
2,21,87,12,21,2-21
2,22,87,11,21,2-22
2,23,87,23,19,2-23
3,0,87,4,6,3-0
3,1,87,4,0,3-1
3,2,87,3,1,3-2
3,3,87,0,0,3-3
3,4,87,0,2,3-4
3,5,87,1,3,3-5
3,6,87,3,2,3-6
3,7,87,10,15,3-7
3,8,87,4,6,3-8
3,9,87,17,2,3-9
3,10,87,6,16,3-10
3,11,87,6,6,3-11
3,12,87,14,9,3-12
3,13,87,26,25,3-13
3,14,87,19,11,3-14
3,15,87,11,12,3-15
3,16,87,10,28,3-16
3,17,87,20,16,3-17
3,18,87,7,11,3-18
3,19,87,21,7,3-19
3,20,87,10,20,3-20
3,21,87,6,9,3-21
3,22,87,1,2,3-22
3,23,87,12,6,3-23
4,0,87,6,7,4-0
4,1,87,5,6,4-1
4,2,87,1,3,4-2
4,3,87,1,0,4-3
4,4,87,0,1,4-4
4,5,87,4,2,4-5
4,6,87,6,1,4-6
4,7,87,3,9,4-7
4,8,87,6,9,4-8
4,9,87,17,8,4-9
4,10,87,11,10,4-10
4,11,87,10,5,4-11
4,12,87,22,19,4-12
4,13,87,23,13,4-13
4,14,87,4,25,4-14
4,15,87,28,9,4-15
4,16,87,11,28,4-16
4,17,87,7,14,4-17
4,18,87,23,16,4-18
4,19,87,22,18,4-19
4,20,87,4,15,4-20
4,21,87,21,9,4-21
4,22,87,8,17,4-22
4,23,87,7,9,4-23
5,0,87,5,8,5-0
5,1,87,8,2,5-1
5,2,87,6,3,5-2
5,3,87,4,6,5-3
5,4,87,4,3,5-4
5,5,87,4,1,5-5
5,6,87,5,4,5-6
5,7,87,4,15,5-7
5,8,87,15,11,5-8
5,9,87,12,4,5-9
5,10,87,18,18,5-10
5,11,87,26,14,5-11
5,12,87,2,25,5-12
5,13,87,33,7,5-13
5,14,87,7,20,5-14
5,15,87,11,18,5-15
5,16,87,5,13,5-16
5,17,87,16,6,5-17
5,18,87,5,14,5-18
5,19,87,12,12,5-19
5,20,87,12,3,5-20
5,21,87,13,15,5-21
5,22,87,8,11,5-22
5,23,87,3,8,5-23
6,0,87,12,11,6-0
6,1,87,6,6,6-1
6,2,87,6,1,6-2
6,3,87,4,7,6-3
6,4,87,2,1,6-4
6,5,87,4,5,6-5
6,6,87,4,5,6-6
6,7,87,8,4,6-7
6,8,87,12,9,6-8
6,9,87,18,3,6-9
6,10,87,9,18,6-10
6,11,87,6,7,6-11
6,12,87,14,6,6-12
6,13,87,26,10,6-13
6,14,87,3,35,6-14
6,15,87,17,16,6-15
6,16,87,8,14,6-16
6,17,87,7,3,6-17
6,18,87,24,13,6-18
6,19,87,9,13,6-19
6,20,87,3,10,6-20
6,21,87,14,18,6-21
6,22,87,8,6,6-22
6,23,87,9,1,6-23
