time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
81,500101001,7,5,0,0.0
81,500101002,0,15,0,0.0
81,500101003,5,11,0,0.0
81,500101004,0,11,0,0.0
81,500101005,3,13,0,0.0
81,500101006,2,9,0,0.0
81,500101007,1,10,0,0.0
81,500101008,8,9,0,0.0
81,500101010,1,19,0,-2.0
81,500101011,2,5,0,0.0
81,500101012,1,7,0,1.0
81,500101014,4,7,0,0.0
81,500101016,1,7,0,1.0
81,500101015,3,11,0,1.0
81,500101017,0,10,0,0.0
81,500101018,1,4,0,0.0
81,500101019,1,14,0,0.0
81,500101020,0,5,0,-1.0
81,500101021,2,5,0,1.0
81,500101023,2,25,0,-1.0
81,500101024,6,24,0,1.0
81,500101025,5,7,0,0.0
81,500101026,8,7,0,1.0
81,500101027,8,7,0,3.0
81,500101028,8,12,0,1.0
81,500101029,4,11,0,2.0
81,500101030,3,12,0,-4.0
81,500101031,2,18,0,-1.0
81,500101032,22,10,0,-2.0
81,500101033,11,9,0,-2.0
81,500101034,10,8,0,1.0
81,500101035,5,6,0,1.0
81,500101036,3,17,0,1.0
81,500101037,8,12,0,0.0
81,500101038,2,25,0,0.0
81,500101039,6,22,0,0.0
81,500101040,0,25,0,-1.0
81,500101041,0,21,0,-1.0
81,500101042,4,11,0,1.0
81,500101091,1,24,0,1.0
81,500101092,0,13,0,-1.0
81,500101093,1,14,0,1.0
81,500106001,6,14,0,0.0
81,500106002,0,20,0,0.0
81,500106003,6,6,0,-1.0
81,500106004,5,7,0,0.0
81,500101013,7,2,0,0.0
81,500101009,1,15,4,-2.0
81,500101022,27,33,0,-14.0
81,500101094,5,18,0,-1.0
81,500119076,2,8,0,1.0
81,500119051,2,25,0,0.0
81,500119066,3,17,0,0.0
81,500119050,9,11,0,3.0
81,500119062,2,10,0,0.0
81,500119087,1,29,0,-1.0
81,500119090,3,17,0,0.0
81,500119064,0,10,0,-1.0
81,500119077,4,52,0,0.0
81,500119085,3,11,0,0.0
81,500119008,4,6,0,0.0
81,500119052,4,12,0,0.0
81,500119074,5,5,0,0.0
81,500119075,6,34,0,-7.0
81,500119086,3,7,0,0.0
81,500119005,17,20,0,-1.0
81,500119072,2,10,0,0.0
81,500119073,3,7,0,0.0
81,500119080,0,10,0,-1.0
81,500119009,8,22,0,-1.0
81,500119048,1,52,0,0.0
81,500119068,1,9,0,0.0
81,500119070,3,22,0,0.0
81,500119044,3,7,0,-1.0
81,500119054,5,5,0,2.0
81,500119046,0,11,0,0.0
81,500119043,5,37,0,-3.0
81,500119078,2,8,0,0.0
81,500119058,1,9,0,0.0
81,500119060,6,6,0,2.0
81,500119071,4,15,0,0.0
81,500119079,1,18,0,-2.0
81,500119056,7,3,0,0.0
81,500119082,2,8,0,0.0
81,500119055,6,4,0,0.0
81,500119045,2,11,0,-1.0
81,500119069,1,9,0,0.0
81,500119083,3,15,0,0.0
81,500119007,4,14,0,-1.0
81,500119047,2,8,0,0.0
81,500119057,1,9,0,0.0
81,500119061,4,23,0,1.0
81,500119006,12,20,0,-1.0
81,500119059,3,17,0,0.0
81,500119065,5,5,0,0.0
81,500119067,4,22,0,0.0
81,500119088,2,17,0,0.0
81,500119089,3,7,0,0.0
81,500119049,6,24,0,1.0
81,500119063,1,9,0,0.0
81,500119081,1,10,0,0.0
81,500119053,1,18,0,0.0
81,500119084,1,9,0,0.0
81,501201002,29,11,0,-5.0
81,501201003,7,16,0,-2.0
81,501201001,1,22,0,1.0
81,501201004,1,14,0,0.0
81,501208001,6,13,0,0.0
81,501208002,21,8,0,0.0
81,501208003,3,21,0,0.0
81,501208004,4,8,0,0.0
81,501207001,36,8,0,0.0
81,501201005,8,11,0,-3.0
81,501201006,7,9,0,0.0
81,501201007,10,9,0,0.0
81,501201008,11,14,0,-1.0
81,501201009,11,9,0,0.0
81,501201010,5,5,0,0.0
81,501207002,2,15,0,0.0
81,501207003,8,17,0,0.0
81,501207004,2,8,0,0.0
81,501207005,6,11,0,3.0
81,501207006,2,13,0,0.0
81,501207007,4,15,0,0.0
81,501208005,11,4,0,1.0
81,501208006,18,3,0,1.0
81,501208007,7,23,0,-1.0
81,501208008,1,16,0,0.0
81,501208009,9,21,0,-1.0
81,501208010,4,11,0,0.0
81,501205001,7,10,0,0.0
81,501203001,8,12,0,0.0
81,501203002,18,5,0,0.0
81,501203003,2,19,0,1.0
81,501203004,5,10,0,-2.0
