status,station_no,name,district,address,parking_spaces,lat,lng,COUNTYNAME
1,1,捷運市政府站(3號出口),信義區,忠孝東路/松仁路(東南側),180,25.04085789,121.5679044,臺北市
1,2,捷運國父紀念館站(2號出口),大安區,忠孝東路四段/光復南路口(西南側),48,25.041254,121.55742,臺北市
1,3,台北市政府,信義區,台北市政府東門(松智路) (鄰近信義商圈/台北探索館),40,25.03779722,121.5651694,臺北市
1,4,市民廣場,信義區,市府路/松壽路(西北側)(鄰近台北101/台北世界貿易中心/台北探索館),60,25.03603611,121.562325,臺北市
1,5,興雅國中,信義區,松仁路/松仁路95巷(東南側)(鄰近信義商圈/台北信義威秀影城),60,25.03656389,121.5686639,臺北市
1,6,臺北南山廣場,信義區,松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城),80,25.034047,121.565973,臺北市
1,7,信義廣場(台北101),信義區,松智路/信義路(東北側) (鄰近台北101),80,25.03303889,121.5656194,臺北市
1,8,世貿三館,信義區,市府路/松壽路(東南側) (鄰近台北101/台北世界貿易中心/台北探索館),60,25.03521389,121.5636889,臺北市
1,9,松德站,信義區,台北市信義區松德路300號,40,25.031785,121.57448,臺北市
1,10,台北市災害應變中心,信義區,台北市信義區莊敬路391巷11弄2號,54,25.02866111,121.5661167,臺北市
1,11,三張犁,信義區,光復南路/基隆路一段364巷(鄰近大安親子館),50,25.034937,121.55762,臺北市
1,12,臺北醫學大學,信義區,台北醫學大學(吳興街220巷59弄)(鄰近台北醫學大學),48,25.026679,121.561747,臺北市
1,13,福德公園,信義區,大道路/福德街路口北西側,58,25.03809,121.58367,臺北市
1,14,榮星花園,中山區,五常街/龍江路口(西南側)(鄰近榮星公園(原榮星花園)),32,25.06424,121.54037,臺北市
1,16,松山家商,信義區,林口街/福德街(東南側),48,25.036084,121.579135,臺北市
1,17,民生光復路口,松山區,光復北路/民生東路(西北側),34,25.05862,121.55514,臺北市
1,18,臺北市藝文推廣處,松山區,北寧路34號 對側(鄰近台北田徑場),40,25.049408,121.55261,臺北市
1,19,象山公園,信義區,松仁路153巷17號對面(鄰近象山步道),30,25.02863,121.56981,臺北市
1,20,捷運科技大樓站,大安區,科技大樓站對面(復興南路2段西側)(鄰近資訊科學展示中心),58,25.025896,121.543293,臺北市
1,21,民生敦化路口,松山區,敦化民生路口公車站旁,66,25.057985,121.548982,臺北市
1,22,松山車站,信義區,松山車站西出口外自行車格內(鄰近饒河街夜市/五分埔),44,25.048824,121.57845,臺北市
1,23,東新國小,南港區,東新國小側門(東明街62號前),32,25.055074,121.602798,臺北市
1,24,信義建國路口,大安區,信義路三段/建國南路二段(西南側)(鄰近大安森林公園),46,25.03293,121.53747,臺北市
1,25,永吉松信路口,信義區,松信路/永吉路南西側人行道,30,25.04543,121.57205,臺北市
1,26,捷運昆陽站(1號出口),南港區,捷運昆陽站1號出口外停車場旁,72,25.050142,121.592375,臺北市
1,27,捷運南港展覽館站(5號出口),南港區,捷運南港展覽館站（5號出口）南側,38,25.05469,121.61669,臺北市
1,28,五常公園,信義區,松隆路/虎林街30巷口(西南側),32,25.04814,121.57467,臺北市
1,29,金山愛國路口,大安區,愛國東路/金山南路(西南側),54,25.03164,121.52655,臺北市
1,30,基隆長興路口,大安區,基隆路/長興街(東南側),74,25.017054,121.544352,臺北市
1,31,辛亥新生路口,大安區,辛亥路/新生南路(高架橋下),30,25.022413,121.53456,臺北市
1,32,捷運六張犁站,大安區,捷運出口外和平東路側,38,25.023884,121.553161,臺北市
1,33,中崙高中,松山區,八德路四段91巷(中崙高中)旁(鄰近京華城/中保寶貝城(BabyBoss City)),46,25.04878,121.56087,臺北市
1,34,捷運行天宮站(1號出口),中山區,捷運行天宮1號出口後方(松江路側),32,25.058369,121.532934,臺北市
1,35,捷運行天宮站(3號出口),中山區,捷運行天宮站3號出口站外,30,25.059978,121.533302,臺北市
1,36,臺大資訊大樓,大安區,辛亥路二段(臺大外語學院外),72,25.02101,121.54153,臺北市
1,37,捷運東門站(4號出口),大安區,信義路/麗水街口(鄰近永康街),46,25.0337,121.528988,臺北市
1,38,臺灣師範大學(圖書館),大安區,和平東路/師大路口(北側)(鄰近臺灣師範大學),32,25.026603,121.52944,臺北市
1,39,南港世貿公園,南港區,三重路/經貿二路88巷(東北側),26,25.058,121.61422,臺北市
1,40,玉成公園,南港區,玉成街247號前,34,25.04287,121.5864,臺北市
1,41,中研公園,南港區,研究院路二段12巷/研究院路二段12巷58弄(西南側),30,25.047425,121.613706,臺北市
1,42,捷運後山埤站(1號出口),信義區,中坡北路/忠孝東路五段(西北側),38,25.04431,121.58174,臺北市
1,43,凌雲市場,南港區,研究院路三段68巷/凌雲街(東北側),30,25.035639,121.614154,臺北市
1,44,捷運南港軟體園區站(2號出口),南港區,捷運南港軟體園區站2號出口外,36,25.05973,121.616187,臺北市
1,45,捷運公館站(2號出口),大安區,羅斯福路四段/舟山路(東北側)(鄰近公館夜市),30,25.01476,121.534538,臺北市
1,46,南港國小,南港區,惠民街/興東街(南側停車場),58,25.056504,121.611389,臺北市
2,47,捷運忠孝新生站(4號出口),大安區,忠孝東路三段 / 新生南路一段口 東北側(鄰近國立台北科技大學),34,25.042275,121.533939,臺北市
1,48,南港車站(忠孝東路),南港區,忠孝東路七段與忠孝東路七段415巷交叉口(鄰近南港高鐵站),38,25.05247,121.608202,臺北市
1,49,龍門廣場,大安區,忠孝東路/敦化南路(西南側廣場）(鄰近東區地下街),52,25.040901,121.548252,臺北市
1,50,民權運動公園,松山區,民權東路四段/新中街交叉口,52,25.062002,121.560186,臺北市
1,51,建國農安街口,中山區,建國北路/農安街口(中油旁邊空地)(鄰近榮星公園(原榮星花園)),44,25.065031,121.536775,臺北市
1,52,建國長春路口,中山區,建國北路/長春路口(北側),30,25.054761,121.536925,臺北市
1,53,八德市場,中山區,建國南路一段/市民大道交叉口(北側) (鄰近國立台北科技大學),26,25.044781,121.536609,臺北市
1,54,臺北市立圖書館(總館),大安區,建國南路二段/建國南路二段151巷(東北側),30,25.028798,121.538073,臺北市
1,55,臺北田徑場,松山區,敦化北路3號(鄰近臺北小巨蛋/台北田徑場),46,25.049505,121.549408,臺北市
1,56,仁愛林森路口,中正區,林森南路/仁愛路一段路口(東北側)(鄰近臺北市青少年發展處/中正親子館),42,25.038954,121.522334,臺北市
1,57,新生和平路口,大安區,新生南路二段/和平東路二段(東北側),46,25.026217,121.53519,臺北市
2,58,捷運善導寺站(1號出口),中正區,天津街/忠孝東路一段(東北側)(鄰近台北國際藝術村/蝴蝶宮昆蟲博物館/台北希望廣場),48,25.045267,121.5222,臺北市
1,59,林森公園,中山區,林森北路/南京東路一段(鄰近林森公園/康樂公園),32,25.052227,121.525805,臺北市
1,60,中山行政中心,中山區,松江路/農安街口(鄰近行天宮),30,25.064317,121.533487,臺北市
1,61,台灣科技大學,大安區,基隆路四段/基隆路四段73巷交叉口(鄰近國立台灣科技大學),86,25.0131,121.539723,臺北市
1,62,南昌公園,中正區,和平西路一段/南昌路,34,25.026827,121.520258,臺北市
1,63,仁愛醫院,大安區,大安路一段/仁愛路四段,36,25.037569,121.545632,臺北市
1,64,國家圖書館,中正區,中山南路/貴陽街口(西南側)(鄰近台北賓館),50,25.037773,121.517029,臺北市
1,65,青年公園3號出口,萬華區,青年路/青年路106巷(東側)(鄰近青年公園),38,25.022725,121.502708,臺北市
1,66,師範大學公館校區,文山區,師大公館校區校門口(汀州路側),42,25.007528,121.537188,臺北市
1,67,捷運臺大醫院(4號出口),中正區,公園路/襄陽路(西南側)(鄰近二二八和平紀念公園/國立臺灣博物館/台北賓館),48,25.042973,121.516428,臺北市
1,68,國興青年路口,萬華區,國興路/青年路(西南側)(鄰近萬華親子館),36,25.025865,121.506536,臺北市
1,69,興豐公園,文山區,興隆路二段123巷/興隆路二段(西北側),34,24.999837,121.547778,臺北市
1,70,捷運台北101/世貿站,信義區,莊敬路/信義路五段(東南側)(鄰近台北世界貿易中心(世貿)/台北國際會議中心/信義公民會館(四四南村)/信義親子館),52,25.032752,121.561645,臺北市
1,71,捷運信義安和站(4號出口),大安區,通化街/信義路四段(西南側)(鄰近臨江街夜市(通化夜市)/大安親子館),30,25.032985,121.554204,臺北市
1,72,新生長安路口,中山區,新生北路一段/長安東路二段交叉口(北側),42,25.048611,121.529346,臺北市
1,73,酒泉延平路口,大同區,延平北路四段/酒泉街(西北側),32,25.072228,121.510195,臺北市
1,74,信義連雲街口,中正區,信義路二段/連雲街(東北側),40,25.033817,121.530547,臺北市
1,75,基隆光復路口,信義區,基隆路二段/光復南路(東北側)(鄰近通化夜市),30,25.0300508,121.557635,臺北市
1,76,新生長春路口,中山區,新生北路二段/新生北路二段68巷交叉口(新生橋下),36,25.056387,121.527522,臺北市
1,77,民生活動中心,松山區,民生東路五段/三民路口(西北側)(鄰近松山親子館),32,25.059147,121.56297,臺北市
1,78,捷運圓山站(2號出口),大同區,承德路三段/庫倫街(東南側)(鄰近台北孔廟/花博公園圓山園區/花博圓山公園區-爭艷館/中山親子館),52,25.071824,121.519287,臺北市
1,79,捷運民權西路站(3號出口),大同區,民權西路70巷37號對面,50,25.061285,121.520205,臺北市
1,80,華江高中,萬華區,東園街/東園街35巷(東北側),44,25.02751,121.495869,臺北市
1,81,捷運台電大樓站(2號出口),大安區,羅斯福路/辛亥路交叉口(古亭國小前),40,25.020547,121.528552,臺北市
1,82,捷運西門站(3號出口),中正區,中華路一段/寶慶路(東南側)(鄰近國軍歷史文物館/中山堂/西門紅樓),60,25.041778,121.508693,臺北市
1,83,捷運大安森林公園站,大安區,信義路三段31巷/信義路三段(南側)(鄰近大安森林公園),74,25.033344,121.534236,臺北市
1,84,復華花園新城,萬華區,西藏路115號/西藏路(東南側),38,25.029705,121.502899,臺北市
1,85,信義敦化路口,大安區,信義路四段/敦化南路一段(東北側),46,25.033362,121.54911,臺北市
1,86,民權復興路口,松山區,復興北路/民權東路三段(東北側),36,25.062344,121.545138,臺北市
1,87,捷運大安站,大安區,復興南路/信義路三段(西南側),48,25.033078,121.543057,臺北市
