time_id,time,week,hour,weekDays,number
10001,2020/12/23 20:39,2,20,1,0
10002,2020/12/23 20:44,2,20,1,0
10003,2020/12/23 20:50,2,20,1,0
10004,2020/12/23 20:55,2,20,1,0
10005,2020/12/23 21:00,2,21,1,0
10006,2020/12/23 21:05,2,21,1,0
10007,2020/12/23 21:10,2,21,1,0
10008,2020/12/23 21:15,2,21,1,0
10009,2020/12/23 21:20,2,21,1,0
10010,2020/12/23 21:25,2,21,1,0
10011,2020/12/23 21:30,2,21,1,0
10012,2020/12/23 21:35,2,21,1,0
10013,2020/12/23 21:41,2,21,1,0
10014,2020/12/23 21:46,2,21,1,0
10015,2020/12/23 21:51,2,21,1,0
10016,2020/12/23 21:56,2,21,1,0
10017,2020/12/23 22:01,2,22,1,0
10018,2020/12/23 22:06,2,22,1,0
10019,2020/12/23 22:11,2,22,1,0
10020,2020/12/23 22:16,2,22,1,0
10021,2020/12/23 22:21,2,22,1,0
10022,2020/12/23 22:26,2,22,1,0
10023,2020/12/23 22:31,2,22,1,0
10024,2020/12/23 22:37,2,22,1,0
10025,2020/12/23 22:42,2,22,1,0
10026,2020/12/23 22:47,2,22,1,0
10027,2020/12/23 22:52,2,22,1,0
10028,2020/12/23 22:57,2,22,1,0
10029,2020/12/23 23:02,2,23,1,0
10030,2020/12/23 23:07,2,23,1,0
10031,2020/12/23 23:12,2,23,1,0
10032,2020/12/23 23:17,2,23,1,0
10033,2020/12/23 23:22,2,23,1,0
10034,2020/12/23 23:28,2,23,1,0
10035,2020/12/23 23:33,2,23,1,0
10036,2020/12/23 23:38,2,23,1,0
10037,2020/12/23 23:43,2,23,1,0
10038,2020/12/23 23:48,2,23,1,0
10039,2020/12/23 23:53,2,23,1,0
10040,2020/12/23 23:58,2,23,1,0
10041,2020/12/24 0:03,3,0,1,0
10042,2020/12/24 0:08,3,0,1,0
10043,2020/12/24 0:13,3,0,1,0
10044,2020/12/24 0:18,3,0,1,0
10045,2020/12/24 0:24,3,0,1,0
10046,2020/12/24 0:29,3,0,1,0
10047,2020/12/24 0:34,3,0,1,0
10048,2020/12/24 0:39,3,0,1,0
10049,2020/12/24 0:44,3,0,1,0
10050,2020/12/24 0:49,3,0,1,0
10051,2020/12/24 0:54,3,0,1,0
10052,2020/12/24 0:59,3,0,1,0
10053,2020/12/24 1:04,3,1,1,0
10054,2020/12/24 1:09,3,1,1,0
10055,2020/12/24 1:15,3,1,1,0
10056,2020/12/24 1:20,3,1,1,0
10057,2020/12/24 1:25,3,1,1,0
10058,2020/12/24 1:30,3,1,1,0
10059,2020/12/24 1:35,3,1,1,0
10060,2020/12/24 1:40,3,1,1,0
10061,2020/12/24 1:45,3,1,1,0
10062,2020/12/24 1:50,3,1,1,0
